Value,Coluna1,Package,Description,Qty,Unit Price,Total Price
PCB blank,,," Proto Board Copper Clad FR1, Single Sided, 1 oz. 5.00"" x 4.00"" (127.0mm x 101.6mm) ",1, $2.44 , $2.44 
FTDI-SMD-HEADER,,1X06SMD, CONN HEADER R/A 6POS 2.54MM ,1, $0.18 , $0.18 
22-23-2021,,22-23-2021, CONN HEADER VERT 2POS 2.54MM ,1, $0.17 , $0.17 
header2x6,,2X03, CONN HEADER VERT 6POS 2.54MM ,2, $0.48 , $0.96 
SWITCH,SWITCH,SWITCH TACTILE SPST-NO 50MA 12V,SWITCH TACTILE SPST-NO 50MA 12V,2, $0.20 , $0.40 
0.1uF ,Capacitor,C1206FAB, CAP CER 0.1UF 50V X7R 1206 ,2, $0.11 , $0.22 
100uF,Capacitor,C1206FAB, CAP CER 100UF 10V X5R 1206 ,1, $1.49 , $1.49 
15pf,Capacitor,C1206FAB, CAP CER 15PF 50V 1206 ,2, $0.19 , $0.38 
1nF,Capacitor,C1206FAB, CAP CER 1206 1NF 250V X7R 10% ,1, $0.27 , $0.27 
ESP32-WROOM-32 (16MB),,ESP-WROOM-32,WIFI MODULE 128MBITS SPI FLASH,1, $4.50 , $4.50 
LED,LED,LED1206,Standard LEDs - SMD 1206 Blue ,7, $1.45 , $10.15 
100ohm,Resistor,R1206,RES SMD 100 OHM 1% 1/4W 1206,5, $0.57 , $2.85 
10k,Resistor,R1206,RES SMD 10K OHM 1% 1/4W 1206,3, $0.57 , $1.71 
1.2Mohm,Resistor,R1206,RES SMD 1.2M OHM 1% 1/4W 1206,1, $0.10 , $0.10 
1.5Mohm,Resistor,R1206,RES SMD 1.5M OHM 1% 1/4W 1206,1, $0.18 , $0.18 
150ohm,Resistor,R1206,RES SMD 15 OHM 1% 1/4W 1206,2, $0.10 , $0.20 
1K,Resistor,R1206,RES SMD 1K OHM 1% 1/4W 1206,4, $0.57 , $2.28 
220omh,Resistor,R1206,RES SMD 220 OHM 1% 1/4W 1206,4, $0.10 , $0.40 
SRD-05VDC-SL-C,Relay,RELAY_SRD-05VDC-SL-C,SRD-5VDC-SL-C 5 Pin PCB Type,4, $1.99 , $7.96 
ACS712,,SO08, SENSOR CURRENT HALL 20A AC/DC ,1, $2.32 , $2.32 
,,SOD123, DIODE GEN PURP 100V 200MA SOD123 ,4, $0.13 , $0.52 
EL817(S)(D)(TU)-V,,SOIC254P1030X460-4N, OPTOISOLTR 5KV TRANSISTOR 4-DIP ,4, $0.18 , $0.72 
BCX70SMD,,SOT23, TRANS NPN 45V 0.1A SOT23 ,4, $0.19 , $0.76 
MCP1700T-3302E/TT,,SOT95P237X112-3N, IC REG LINEAR 3.3V 250MA SOT23-3 ,1, $0.37 , $0.37 
TEMP-HUM-SENSOR-DHT11,,TEMP-HUM-SENSOR-DHT11, SENSOR HUMID/TEMP 5V DTL 5% MOD ,1, $5.00 , $5.00 
,,W237-102,WAGO SCREW CLAMP,4, $0.10 , $0.40 
ECS-.327-12.5-13X,,XTAL_ECS-.327-12.5-13X,CRYSTAL 32.7680KHZ 12.5PF TH,1, $0.24 , $0.24 
,,,,, Total , $44.73 
